Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,6,1967,6,30,6/1/1967,6/30/1967,6/1/1967,6/30/1967,3.98
1,7,1967,7,31,7/1/1967,7/31/1967,7/3/1967,7/31/1967,3.79
1,8,1967,8,31,8/1/1967,8/31/1967,8/1/1967,8/31/1967,3.9
1,9,1967,9,30,9/1/1967,9/30/1967,9/1/1967,9/29/1967,3.99
1,10,1967,10,31,10/1/1967,10/31/1967,10/2/1967,10/31/1967,3.88
1,11,1967,11,30,11/1/1967,11/30/1967,11/1/1967,11/30/1967,4.13
1,12,1967,12,31,12/1/1967,12/31/1967,12/1/1967,12/29/1967,4.51
1,1,1968,1,31,1/1/1968,1/31/1968,1/1/1968,1/31/1968,4.61
1,2,1968,2,29,2/1/1968,2/29/1968,2/1/1968,2/29/1968,4.71
1,3,1968,3,31,3/1/1968,3/31/1968,3/1/1968,3/29/1968,5.05
1,4,1968,4,30,4/1/1968,4/30/1968,4/1/1968,4/30/1968,5.76
1,5,1968,5,31,5/1/1968,5/31/1968,5/1/1968,5/31/1968,6.12
1,6,1968,6,30,6/1/1968,6/30/1968,6/3/1968,6/28/1968,6.07
1,7,1968,7,31,7/1/1968,7/31/1968,7/1/1968,7/31/1968,6.03
1,8,1968,8,31,8/1/1968,8/31/1968,8/1/1968,8/30/1968,6.03
1,9,1968,9,30,9/1/1968,9/30/1968,9/2/1968,9/30/1968,5.78
1,10,1968,10,31,10/1/1968,10/31/1968,10/1/1968,10/31/1968,5.91
1,11,1968,11,30,11/1/1968,11/30/1968,11/1/1968,11/29/1968,5.82
1,12,1968,12,31,12/1/1968,12/31/1968,12/2/1968,12/31/1968,6.02
1,1,1969,1,31,1/1/1969,1/31/1969,1/1/1969,1/31/1969,6.3
1,2,1969,2,28,2/1/1969,2/28/1969,2/3/1969,2/28/1969,6.61
1,3,1969,3,31,3/1/1969,3/31/1969,3/3/1969,3/31/1969,6.79
1,4,1969,4,30,4/1/1969,4/30/1969,4/1/1969,4/30/1969,7.41
1,5,1969,5,31,5/1/1969,5/31/1969,5/1/1969,5/30/1969,8.67
1,6,1969,6,30,6/1/1969,6/30/1969,6/2/1969,6/30/1969,8.9
1,7,1969,7,31,7/1/1969,7/31/1969,7/1/1969,7/31/1969,8.61
1,8,1969,8,31,8/1/1969,8/31/1969,8/1/1969,8/29/1969,9.19
1,9,1969,9,30,9/1/1969,9/30/1969,9/1/1969,9/30/1969,9.15
1,10,1969,10,31,10/1/1969,10/31/1969,10/1/1969,10/31/1969,9
1,11,1969,11,30,11/1/1969,11/30/1969,11/3/1969,11/28/1969,8.85
1,12,1969,12,31,12/1/1969,12/31/1969,12/1/1969,12/31/1969,8.97
1,1,1970,1,31,1/1/1970,1/31/1970,1/1/1970,1/30/1970,8.98
1,2,1970,2,28,2/1/1970,2/28/1970,2/2/1970,2/27/1970,8.98
1,3,1970,3,31,3/1/1970,3/31/1970,3/2/1970,3/31/1970,7.76
1,4,1970,4,30,4/1/1970,4/30/1970,4/1/1970,4/30/1970,8.1
1,5,1970,5,31,5/1/1970,5/31/1970,5/1/1970,5/29/1970,7.95
1,6,1970,6,30,6/1/1970,6/30/1970,6/1/1970,6/30/1970,7.61
1,7,1970,7,31,7/1/1970,7/31/1970,7/1/1970,7/31/1970,7.21
1,8,1970,8,31,8/1/1970,8/31/1970,8/3/1970,8/31/1970,6.62
1,9,1970,9,30,9/1/1970,9/30/1970,9/1/1970,9/30/1970,6.29
1,10,1970,10,31,10/1/1970,10/31/1970,10/1/1970,10/30/1970,6.2
1,11,1970,11,30,11/1/1970,11/30/1970,11/2/1970,11/30/1970,5.6
1,12,1970,12,31,12/1/1970,12/31/1970,12/1/1970,12/31/1970,4.9
1,1,1971,1,31,1/1/1971,1/31/1971,1/1/1971,1/29/1971,4.14
1,2,1971,2,28,2/1/1971,2/28/1971,2/1/1971,2/26/1971,3.72
1,3,1971,3,31,3/1/1971,3/31/1971,3/1/1971,3/31/1971,3.71
1,4,1971,4,30,4/1/1971,4/30/1971,4/1/1971,4/30/1971,4.16
1,5,1971,5,31,5/1/1971,5/31/1971,5/3/1971,5/31/1971,4.63
1,6,1971,6,30,6/1/1971,6/30/1971,6/1/1971,6/30/1971,4.91
1,7,1971,7,31,7/1/1971,7/31/1971,7/1/1971,7/30/1971,5.31
1,8,1971,8,31,8/1/1971,8/31/1971,8/2/1971,8/31/1971,5.57
1,9,1971,9,30,9/1/1971,9/30/1971,9/1/1971,9/30/1971,5.55
1,10,1971,10,31,10/1/1971,10/31/1971,10/1/1971,10/29/1971,5.2
1,11,1971,11,30,11/1/1971,11/30/1971,11/1/1971,11/30/1971,4.91
1,12,1971,12,31,12/1/1971,12/31/1971,12/1/1971,12/31/1971,4.14
1,1,1972,1,31,1/1/1972,1/31/1972,1/3/1972,1/31/1972,3.51
1,2,1972,2,29,2/1/1972,2/29/1972,2/1/1972,2/29/1972,3.3
1,3,1972,3,31,3/1/1972,3/31/1972,3/1/1972,3/31/1972,3.83
1,4,1972,4,30,4/1/1972,4/30/1972,4/3/1972,4/28/1972,4.17
1,5,1972,5,31,5/1/1972,5/31/1972,5/1/1972,5/31/1972,4.27
1,6,1972,6,30,6/1/1972,6/30/1972,6/1/1972,6/30/1972,4.46
1,7,1972,7,31,7/1/1972,7/31/1972,7/3/1972,7/31/1972,4.55
1,8,1972,8,31,8/1/1972,8/31/1972,8/1/1972,8/31/1972,4.81
1,9,1972,9,30,9/1/1972,9/30/1972,9/1/1972,9/29/1972,4.87
1,10,1972,10,31,10/1/1972,10/31/1972,10/2/1972,10/31/1972,5.05
1,11,1972,11,30,11/1/1972,11/30/1972,11/1/1972,11/30/1972,5.06
1,12,1972,12,31,12/1/1972,12/31/1972,12/1/1972,12/29/1972,5.33
1,1,1973,1,31,1/1/1973,1/31/1973,1/1/1973,1/31/1973,5.94
1,2,1973,2,28,2/1/1973,2/28/1973,2/1/1973,2/28/1973,6.58
1,3,1973,3,31,3/1/1973,3/31/1973,3/1/1973,3/30/1973,7.09
1,4,1973,4,30,4/1/1973,4/30/1973,4/2/1973,4/30/1973,7.12
1,5,1973,5,31,5/1/1973,5/31/1973,5/1/1973,5/31/1973,7.84
1,6,1973,6,30,6/1/1973,6/30/1973,6/1/1973,6/29/1973,8.49
1,7,1973,7,31,7/1/1973,7/31/1973,7/2/1973,7/31/1973,10.4
1,8,1973,8,31,8/1/1973,8/31/1973,8/1/1973,8/31/1973,10.5
1,9,1973,9,30,9/1/1973,9/30/1973,9/3/1973,9/28/1973,10.78
1,10,1973,10,31,10/1/1973,10/31/1973,10/1/1973,10/31/1973,10.01
1,11,1973,11,30,11/1/1973,11/30/1973,11/1/1973,11/30/1973,10.03
1,12,1973,12,31,12/1/1973,12/31/1973,12/3/1973,12/31/1973,9.95
1,1,1974,1,31,1/1/1974,1/31/1974,1/1/1974,1/31/1974,9.65
1,2,1974,2,28,2/1/1974,2/28/1974,2/1/1974,2/28/1974,8.97
1,3,1974,3,31,3/1/1974,3/31/1974,3/1/1974,3/29/1974,9.35
1,4,1974,4,30,4/1/1974,4/30/1974,4/1/1974,4/30/1974,10.51
1,5,1974,5,31,5/1/1974,5/31/1974,5/1/1974,5/31/1974,11.31
1,6,1974,6,30,6/1/1974,6/30/1974,6/3/1974,6/28/1974,11.93
1,7,1974,7,31,7/1/1974,7/31/1974,7/1/1974,7/31/1974,12.92
1,8,1974,8,31,8/1/1974,8/31/1974,8/1/1974,8/30/1974,12.01
1,9,1974,9,30,9/1/1974,9/30/1974,9/2/1974,9/30/1974,11.34
1,10,1974,10,31,10/1/1974,10/31/1974,10/1/1974,10/31/1974,10.06
1,11,1974,11,30,11/1/1974,11/30/1974,11/1/1974,11/29/1974,9.45
1,12,1974,12,31,12/1/1974,12/31/1974,12/2/1974,12/31/1974,8.53
1,1,1975,1,31,1/1/1975,1/31/1975,1/1/1975,1/31/1975,7.13
1,2,1975,2,28,2/1/1975,2/28/1975,2/3/1975,2/28/1975,6.24
1,3,1975,3,31,3/1/1975,3/31/1975,3/3/1975,3/31/1975,5.54
1,4,1975,4,30,4/1/1975,4/30/1975,4/1/1975,4/30/1975,5.49
1,5,1975,5,31,5/1/1975,5/31/1975,5/1/1975,5/30/1975,5.22
1,6,1975,6,30,6/1/1975,6/30/1975,6/2/1975,6/30/1975,5.55
1,7,1975,7,31,7/1/1975,7/31/1975,7/1/1975,7/31/1975,6.1
1,8,1975,8,31,8/1/1975,8/31/1975,8/1/1975,8/29/1975,6.14
1,9,1975,9,30,9/1/1975,9/30/1975,9/1/1975,9/30/1975,6.24
1,10,1975,10,31,10/1/1975,10/31/1975,10/1/1975,10/31/1975,5.82
1,11,1975,11,30,11/1/1975,11/30/1975,11/3/1975,11/28/1975,5.22
1,12,1975,12,31,12/1/1975,12/31/1975,12/1/1975,12/31/1975,5.2
1,1,1976,1,31,1/1/1976,1/31/1976,1/1/1976,1/30/1976,4.87
1,2,1976,2,29,2/1/1976,2/29/1976,2/2/1976,2/27/1976,4.77
1,3,1976,3,31,3/1/1976,3/31/1976,3/1/1976,3/31/1976,4.84
1,4,1976,4,30,4/1/1976,4/30/1976,4/1/1976,4/30/1976,4.82
1,5,1976,5,31,5/1/1976,5/31/1976,5/3/1976,5/31/1976,5.29
1,6,1976,6,30,6/1/1976,6/30/1976,6/1/1976,6/30/1976,5.48
1,7,1976,7,31,7/1/1976,7/31/1976,7/1/1976,7/30/1976,5.31
1,8,1976,8,31,8/1/1976,8/31/1976,8/2/1976,8/31/1976,5.29
1,9,1976,9,30,9/1/1976,9/30/1976,9/1/1976,9/30/1976,5.25
1,10,1976,10,31,10/1/1976,10/31/1976,10/1/1976,10/29/1976,5.02
1,11,1976,11,30,11/1/1976,11/30/1976,11/1/1976,11/30/1976,4.95
1,12,1976,12,31,12/1/1976,12/31/1976,12/1/1976,12/31/1976,4.65
1,1,1977,1,31,1/1/1977,1/31/1977,1/3/1977,1/31/1977,4.61
1,2,1977,2,28,2/1/1977,2/28/1977,2/1/1977,2/28/1977,4.68
1,3,1977,3,31,3/1/1977,3/31/1977,3/1/1977,3/31/1977,4.69
1,4,1977,4,30,4/1/1977,4/30/1977,4/1/1977,4/29/1977,4.73
1,5,1977,5,31,5/1/1977,5/31/1977,5/2/1977,5/31/1977,5.35
1,6,1977,6,30,6/1/1977,6/30/1977,6/1/1977,6/30/1977,5.39
1,7,1977,7,31,7/1/1977,7/31/1977,7/1/1977,7/29/1977,5.42
1,8,1977,8,31,8/1/1977,8/31/1977,8/1/1977,8/31/1977,5.9
1,9,1977,9,30,9/1/1977,9/30/1977,9/1/1977,9/30/1977,6.14
1,10,1977,10,31,10/1/1977,10/31/1977,10/3/1977,10/31/1977,6.47
1,11,1977,11,30,11/1/1977,11/30/1977,11/1/1977,11/30/1977,6.51
1,12,1977,12,31,12/1/1977,12/31/1977,12/1/1977,12/30/1977,6.56
1,1,1978,1,31,1/1/1978,1/31/1978,1/2/1978,1/31/1978,6.7
1,2,1978,2,28,2/1/1978,2/28/1978,2/1/1978,2/28/1978,6.78
1,3,1978,3,31,3/1/1978,3/31/1978,3/1/1978,3/31/1978,6.79
1,4,1978,4,30,4/1/1978,4/30/1978,4/3/1978,4/28/1978,6.89
1,5,1978,5,31,5/1/1978,5/31/1978,5/1/1978,5/31/1978,7.36
1,6,1978,6,30,6/1/1978,6/30/1978,6/1/1978,6/30/1978,7.6
1,7,1978,7,31,7/1/1978,7/31/1978,7/3/1978,7/31/1978,7.81
1,8,1978,8,31,8/1/1978,8/31/1978,8/1/1978,8/31/1978,8.04
1,9,1978,9,30,9/1/1978,9/30/1978,9/1/1978,9/29/1978,8.45
1,10,1978,10,31,10/1/1978,10/31/1978,10/2/1978,10/31/1978,8.96
1,11,1978,11,30,11/1/1978,11/30/1978,11/1/1978,11/30/1978,9.76
1,12,1978,12,31,12/1/1978,12/31/1978,12/1/1978,12/29/1978,10.03
1,1,1979,1,31,1/1/1979,1/31/1979,1/1/1979,1/31/1979,10.07
1,2,1979,2,28,2/1/1979,2/28/1979,2/1/1979,2/28/1979,10.06
1,3,1979,3,31,3/1/1979,3/31/1979,3/1/1979,3/30/1979,10.09
1,4,1979,4,30,4/1/1979,4/30/1979,4/2/1979,4/30/1979,10.01
1,5,1979,5,31,5/1/1979,5/31/1979,5/1/1979,5/31/1979,10.24
1,6,1979,6,30,6/1/1979,6/30/1979,6/1/1979,6/29/1979,10.29
1,7,1979,7,31,7/1/1979,7/31/1979,7/2/1979,7/31/1979,10.47
1,8,1979,8,31,8/1/1979,8/31/1979,8/1/1979,8/31/1979,10.94
1,9,1979,9,30,9/1/1979,9/30/1979,9/3/1979,9/28/1979,11.43
1,10,1979,10,31,10/1/1979,10/31/1979,10/1/1979,10/31/1979,13.77
1,11,1979,11,30,11/1/1979,11/30/1979,11/1/1979,11/30/1979,13.18
1,12,1979,12,31,12/1/1979,12/31/1979,12/3/1979,12/31/1979,13.78
1,1,1980,1,31,1/1/1980,1/31/1980,1/1/1980,1/31/1980,13.82
1,2,1980,2,29,2/1/1980,2/29/1980,2/1/1980,2/29/1980,14.13
1,3,1980,3,31,3/1/1980,3/31/1980,3/3/1980,3/31/1980,17.19
1,4,1980,4,30,4/1/1980,4/30/1980,4/1/1980,4/30/1980,17.61
1,5,1980,5,31,5/1/1980,5/31/1980,5/1/1980,5/30/1980,10.98
1,6,1980,6,30,6/1/1980,6/30/1980,6/2/1980,6/30/1980,9.47
1,7,1980,7,31,7/1/1980,7/31/1980,7/1/1980,7/31/1980,9.03
1,8,1980,8,31,8/1/1980,8/31/1980,8/1/1980,8/29/1980,9.61
1,9,1980,9,30,9/1/1980,9/30/1980,9/1/1980,9/30/1980,10.87
1,10,1980,10,31,10/1/1980,10/31/1980,10/1/1980,10/31/1980,12.81
1,11,1980,11,30,11/1/1980,11/30/1980,11/3/1980,11/28/1980,15.85
1,12,1980,12,31,12/1/1980,12/31/1980,12/1/1980,12/31/1980,18.9
1,1,1981,1,31,1/1/1981,1/31/1981,1/1/1981,1/30/1981,19.08
1,2,1981,2,28,2/1/1981,2/28/1981,2/2/1981,2/27/1981,15.93
1,3,1981,3,31,3/1/1981,3/31/1981,3/2/1981,3/31/1981,14.7
1,4,1981,4,30,4/1/1981,4/30/1981,4/1/1981,4/30/1981,15.72
1,5,1981,5,31,5/1/1981,5/31/1981,5/1/1981,5/29/1981,18.52
